FIPS Code,State,Area name,Attribute,Value
40085,OK,Love County,"Percent of adults with a high school diploma only, 1970",25.5
40085,OK,Love County,"Percent of adults with a high school diploma only, 1980",31.7
40085,OK,Love County,"Percent of adults with a high school diploma only, 1990",37.2
40085,OK,Love County,"Percent of adults with a high school diploma only, 2000",41.4
40085,OK,Love County,"Percent of adults with a high school diploma only, 2008-12",44.76942123
40085,OK,Love County,"Percent of adults with a high school diploma only, 2018-22",36.92921531
48097,TX,Cooke County,"Percent of adults with a high school diploma only, 1970",27.2
48097,TX,Cooke County,"Percent of adults with a high school diploma only, 1980",29.0
48097,TX,Cooke County,"Percent of adults with a high school diploma only, 1990",30.4
48097,TX,Cooke County,"Percent of adults with a high school diploma only, 2000",31.5
48097,TX,Cooke County,"Percent of adults with a high school diploma only, 2008-12",32.03461477
48097,TX,Cooke County,"Percent of adults with a high school diploma only, 2018-22",31.33492086
